,Date,polarity
224,09/01/19,0.0
225,10/01/19,0.0
226,11/01/19,0.0
227,12/01/19,57.49999999999999
228,12/01/19,0.0
229,12/01/19,28.444010416666664
230,13/01/19,0.0
231,13/01/19,0.0
232,15/01/19,0.0
233,15/01/19,0.0
234,16/01/19,0.0
235,16/01/19,0.0
236,17/01/19,0.0
237,18/01/19,0.0
238,20/01/19,0.0
239,21/01/19,0.0
240,21/01/19,0.0
241,23/01/19,0.0
242,23/01/19,0.0
243,23/01/19,0.0
244,23/01/19,0.0
245,23/01/19,0.0
246,23/01/19,50.0
247,23/01/19,0.0
248,24/01/19,0.0
249,24/01/19,0.0
250,24/01/19,0.0
251,24/01/19,0.0
252,25/01/19,0.0
253,27/01/19,9.000000000000002
254,31/01/19,0.0
255,31/01/19,0.0
256,31/01/19,0.0
257,31/01/19,0.0
258,31/01/19,0.0
259,31/01/19,0.0
260,02/02/19,58.34263392857143
261,02/02/19,0.0
262,02/02/19,50.0
263,04/02/19,0.0
264,04/02/19,5.555555555555555
265,04/02/19,0.0
266,04/02/19,0.0
267,04/02/19,0.0
268,04/02/19,0.0
269,04/02/19,0.0
270,04/02/19,0.0
271,04/02/19,0.0
272,04/02/19,0.0
273,05/02/19,0.0
274,05/02/19,0.0
275,05/02/19,0.0
276,05/02/19,0.0
277,05/02/19,0.0
278,05/02/19,0.0
279,06/02/19,0.0
280,07/02/19,0.0
281,07/02/19,0.0
282,07/02/19,0.0
283,07/02/19,0.0
284,07/02/19,0.0
285,07/02/19,0.0
286,07/02/19,0.0
287,07/02/19,0.0
288,07/02/19,0.0
289,07/02/19,0.0
290,07/02/19,0.0
291,11/02/19,-10.0
292,14/02/19,0.0
293,19/02/19,47.5
294,19/02/19,-5.75
295,20/02/19,0.0
296,20/02/19,0.0
297,20/02/19,0.0
298,20/02/19,0.0
299,20/02/19,0.0
300,20/02/19,50.0
301,21/02/19,16.666666666666664
302,21/02/19,0.0
303,21/02/19,0.0
304,21/02/19,0.0
305,22/02/19,0.0
306,22/02/19,0.0
307,22/02/19,0.0
308,22/02/19,0.0
309,22/02/19,0.0
310,22/02/19,-10.0
311,24/02/19,-10.0
312,24/02/19,-25.0
313,24/02/19,1.1458333333333324
314,25/02/19,0.0
315,25/02/19,0.0
316,25/02/19,0.0
317,26/02/19,-2.4999999999999996
318,26/02/19,25.178571428571427
319,27/02/19,0.0
320,27/02/19,0.0
321,01/03/19,0.0
322,01/03/19,0.0
323,01/03/19,0.0
324,02/03/19,0.0
325,02/03/19,0.0
326,05/03/19,0.0
327,06/03/19,13.333333333333334
328,06/03/19,0.0
329,07/03/19,13.636363636363635
330,07/03/19,0.0
331,07/03/19,0.0
332,07/03/19,0.0
333,08/03/19,0.0
334,08/03/19,0.0
335,08/03/19,0.0
336,08/03/19,7.5
337,08/03/19,0.0
338,08/03/19,58.21428571428571
339,08/03/19,30.0
340,08/03/19,0.0
341,08/03/19,0.0
342,14/03/19,12.5
343,15/03/19,0.0
344,15/03/19,0.0
345,15/03/19,0.0
346,15/03/19,0.0
347,15/03/19,0.0
348,15/03/19,0.0
349,15/03/19,6.25
350,15/03/19,50.0
351,16/03/19,0.0
352,16/03/19,0.0
353,16/03/19,0.0
354,16/03/19,0.0
355,16/03/19,0.0
356,16/03/19,0.0
357,16/03/19,0.0
358,16/03/19,0.0
359,16/03/19,0.0
360,16/03/19,0.0
361,16/03/19,0.0
362,16/03/19,0.0
363,17/03/19,0.0
364,17/03/19,0.0
365,17/03/19,30.0
366,18/03/19,0.0
367,19/03/19,0.0
368,19/03/19,0.0
369,19/03/19,0.0
370,19/03/19,0.0
371,19/03/19,0.0
372,19/03/19,0.0
373,19/03/19,0.0
374,19/03/19,0.0
375,20/03/19,0.0
376,20/03/19,0.0
377,20/03/19,0.0
378,20/03/19,0.0
379,20/03/19,0.0
380,20/03/19,0.0
381,20/03/19,0.0
382,21/03/19,38.0
383,22/03/19,20.0
384,22/03/19,0.0
385,22/03/19,0.0
386,22/03/19,0.0
387,22/03/19,0.0
388,23/03/19,0.0
389,24/03/19,0.0
390,25/03/19,30.0
391,26/03/19,0.0
392,26/03/19,0.0
393,26/03/19,0.0
394,26/03/19,0.0
395,26/03/19,0.0
396,26/03/19,0.0
397,26/03/19,0.0
398,26/03/19,0.0
399,27/03/19,0.0
400,27/03/19,40.00000000000001
401,27/03/19,0.0
402,27/03/19,0.0
403,27/03/19,0.0
404,27/03/19,0.0
405,27/03/19,0.0
406,27/03/19,0.0
407,28/03/19,0.0
408,28/03/19,0.0
409,28/03/19,20.0
410,28/03/19,0.0
411,28/03/19,0.0
412,28/03/19,0.0
413,29/03/19,0.0
414,29/03/19,0.0
415,29/03/19,0.0
416,29/03/19,5.833333333333333
417,29/03/19,14.09090909090909
418,02/04/19,0.0
419,02/04/19,0.0
420,03/04/19,0.0
421,03/04/19,0.0
422,03/04/19,0.0
423,04/04/19,0.0
424,04/04/19,0.0
425,08/04/19,0.0
426,08/04/19,0.0
427,08/04/19,0.0
428,08/04/19,0.0
429,08/04/19,0.0
430,08/04/19,0.0
431,08/04/19,0.0
432,08/04/19,0.0
433,08/04/19,12.321428571428571
434,09/04/19,0.0
435,09/04/19,0.0
436,09/04/19,0.0
437,09/04/19,25.0
438,10/04/19,0.0
439,10/04/19,0.0
440,10/04/19,0.0
441,10/04/19,0.0
442,10/04/19,0.0
443,11/04/19,0.0
444,11/04/19,0.0
445,11/04/19,0.0
446,11/04/19,0.0
447,11/04/19,0.0
448,11/04/19,0.0
449,11/04/19,-24.6875
450,11/04/19,0.0
451,11/04/19,0.0
452,11/04/19,0.0
453,11/04/19,0.0
454,12/04/19,0.0
455,12/04/19,0.0
456,13/04/19,0.0
457,13/04/19,0.0
458,13/04/19,0.0
459,15/04/19,0.0
460,15/04/19,0.0
461,15/04/19,-12.5
462,15/04/19,0.0
463,16/04/19,0.0
464,16/04/19,0.0
465,16/04/19,0.0
466,16/04/19,0.0
467,17/04/19,0.0
468,17/04/19,0.0
469,17/04/19,0.0
470,17/04/19,0.0
471,18/04/19,0.0
472,18/04/19,0.0
473,19/04/19,0.0
474,19/04/19,0.0
475,19/04/19,0.0
476,19/04/19,0.0
477,19/04/19,0.0
478,19/04/19,0.0
479,19/04/19,0.0
480,19/04/19,0.0
481,19/04/19,0.0
482,20/04/19,0.0
483,20/04/19,0.0
484,20/04/19,-12.5
485,20/04/19,0.0
486,20/04/19,0.0
487,20/04/19,-12.5
488,21/04/19,0.0
489,21/04/19,0.0
490,24/04/19,0.0
491,24/04/19,0.0
492,24/04/19,0.0
493,30/04/19,0.0
494,04/05/19,0.0
495,04/05/19,11.623376623376625
496,09/05/19,0.0
497,09/05/19,0.0
498,10/05/19,40.0
499,10/05/19,-50.0
500,11/05/19,0.0
501,12/05/19,25.0
502,13/05/19,0.0
503,13/05/19,0.0
504,13/05/19,0.0
505,13/05/19,50.0
506,13/05/19,0.0
507,13/05/19,0.0
508,13/05/19,0.0
509,13/05/19,26.666666666666668
510,13/05/19,0.0
511,13/05/19,0.0
512,13/05/19,17.857142857142858
513,13/05/19,0.0
514,13/05/19,0.0
515,13/05/19,70.0
516,13/05/19,0.0
517,14/05/19,0.0
518,14/05/19,0.0
519,14/05/19,20.0
520,14/05/19,0.0
521,14/05/19,0.0
522,16/05/19,0.0
523,16/05/19,0.0
524,17/05/19,10.952380952380954
525,17/05/19,0.0
526,18/05/19,0.0
527,18/05/19,50.0
528,18/05/19,0.0
529,18/05/19,0.0
530,18/05/19,0.0
531,18/05/19,0.0
532,20/05/19,0.0
533,24/05/19,0.0
534,12/06/19,7.916666666666668
535,13/06/19,0.0
536,13/06/19,17.991071428571427
537,25/06/19,0.0
538,04/07/19,0.0
539,04/07/19,0.0
540,08/07/19,0.0
541,08/07/19,0.0
542,11/07/19,0.0
543,13/07/19,0.0
544,13/07/19,0.0
545,13/07/19,0.0
546,13/07/19,0.0
547,13/07/19,25.0
548,13/07/19,0.0
549,14/07/19,0.0
550,14/07/19,40.0
551,14/07/19,25.0
552,14/07/19,100.0
553,14/07/19,0.0
554,14/07/19,40.0
555,14/07/19,0.0
556,14/07/19,0.0
557,14/07/19,0.0
558,14/07/19,0.0
559,14/07/19,0.0
